STAT_TYPE, REGION, CATEGORY, TOTAL_TYPE, TOTAL
STAT, PageAlloc, MeminfoPre, TSUM, 507
STAT, PageAlloc, MeminfoPost, TSUM, 507
STAT, Sync, Iterations, TSUM, 2029966
STAT, Sync, Time, TMAX, 65
STAT, Sanity check, Time, TMAX, 2
STAT, (NULL), Time, TMAX, 72
PARAM, (NULL), CommandLine, SINGLE, /systems/in-mem/Galois/build/lonestar/bfs/bfs -algo=SyncTile -exec=PARALLEL -t=28 -startNode=4752902 -statFile=/results/galois/graph500_23_bfs_synctile_parallel_stats.csv -noverify /datasets/galois/graph500_23.gr
PARAM, (NULL), Threads, SINGLE, 28
PARAM, (NULL), Hostname, SINGLE, fe32a45fa70f
Node 1 has distance 2147483646
INFO: # visited nodes is 3384292
INFO: Max distance is 11
INFO: Sum of visited distances is 12730754
